Date,user_id,searches,purchases,total_purchased_amount
2025-12-03,2OabBg54,0,0,0
2025-12-03,S34hk77d,1,0,0
2025-12-03,GZGE7XqJ,0,0,0
2025-12-03,sXWZeDW7,0,0,0
2025-12-03,gUwvZ2Fg,1,0,0
2025-12-03,gpZdBcM3,0,1,736
2025-12-03,Dg4ps3jO,0,1,278
2025-12-03,hbKABemN,0,0,0
2025-12-03,Gt0YesGA,1,1,228
2025-12-03,JfB50Laf,0,0,0
2025-12-03,C5xuWmHV,0,1,628
2025-12-03,1GhlCoq8,1,2,1957
2025-12-03,MMA2cnRu,0,1,380
2025-12-03,iY1M2cuq,2,0,0
2025-12-03,uQnGNt2r,0,1,716
2025-12-03,DBMEneE6,1,0,0
2025-12-03,VQ4MIY9S,0,1,801
2025-12-03,pdJQrLwd,1,0,0
2025-12-03,jkN6vLLe,1,0,0
2025-12-03,B5TxEdY1,0,1,445
2025-12-03,D098E0cw,1,1,406
2025-12-03,m5whtGIT,0,1,770
2025-12-03,Aej5JH9H,0,0,0
2025-12-03,cvnPQsOE,0,0,0
2025-12-03,JPfxceF2,0,2,1678
2025-12-03,V0BDfrf9,0,1,886
2025-12-03,RRoikhOX,0,1,746
2025-12-03,NQxIdN4l,0,1,951
2025-12-03,2w4rPmOd,2,0,0
2025-12-03,ZnsLnnsA,1,0,0
2025-12-03,A1yKurJj,0,1,860
2025-12-03,TjXfvrQR,0,1,960
2025-12-03,VSf4JFqT,0,0,0
2025-12-03,HnIfEfG8,0,1,822
2025-12-03,9HY5FDdG,0,1,154
2025-12-03,cmGQa35n,1,0,0
2025-12-03,eSklPKEE,0,0,0
2025-12-03,oe1ygk9b,1,2,759
2025-12-03,crF4wpZr,1,0,0
2025-12-03,maSFk6ft,0,1,335
2025-12-03,279CmB1x,0,1,892
2025-12-03,Q82Atn93,0,0,0
2025-12-03,yB8LzFGW,0,0,0
2025-12-03,ruAKpdij,1,0,0
2025-12-03,BFxePua6,0,1,130
2025-12-04,fl2k5v02,1,1,887
2025-12-04,Dg4ps3jO,1,0,0
2025-12-04,RRoikhOX,0,0,0
2025-12-04,kbjZIkgt,0,0,0
2025-12-04,VSf4JFqT,0,1,586
2025-12-04,yB8LzFGW,1,1,479
2025-12-04,1GhlCoq8,1,0,0
2025-12-04,PH5HjRhP,0,1,506
2025-12-04,yw2iu7E1,0,1,832
2025-12-04,TjXfvrQR,0,1,120
2025-12-04,2w4rPmOd,0,1,770
2025-12-04,2OabBg54,1,1,105
2025-12-04,2wGX4taj,0,0,0
2025-12-04,cmGQa35n,1,0,0
2025-12-04,iY1M2cuq,1,2,1635
2025-12-04,P0Wwmr9M,0,1,418
2025-12-04,D098E0cw,2,1,623
2025-12-04,0TsYjiK6,0,0,0
2025-12-04,dd2td2NE,1,2,1562
2025-12-04,HuTI4vN7,1,1,399
2025-12-04,jF046OKM,1,0,0
2025-12-04,Uxwf8OVP,0,1,205
2025-12-04,j5KzuBWH,0,0,0
2025-12-04,NQxIdN4l,0,0,0
2025-12-04,pdJQrLwd,0,1,963
2025-12-04,eSklPKEE,0,1,375
2025-12-04,S9Zt9xJk,0,0,0
2025-12-04,5zMYRrTw,0,0,0
2025-12-04,S34hk77d,1,0,0
2025-12-04,uGm3dky8,0,2,1071
2025-12-04,SkjeQxGI,0,2,791
2025-12-04,evoskti5,0,1,516
2025-12-04,V0BDfrf9,1,0,0
2025-12-04,BFxePua6,2,0,0
2025-12-04,oe1ygk9b,1,0,0
2025-12-04,x4oDM2xs,0,0,0
2025-12-04,jkN6vLLe,2,0,0
2025-12-04,Lgt1ESdD,1,1,990
2025-12-04,B5TxEdY1,1,0,0
2025-12-04,GZGE7XqJ,0,1,178
2025-12-04,ruAKpdij,1,0,0
2025-12-04,uQnGNt2r,1,0,0
2025-12-04,nOJV3mYj,2,0,0
2025-12-04,Bv5epZXb,1,0,0
2025-12-04,Gt0YesGA,3,1,399
2025-12-04,cRjbShDk,2,2,234
2025-12-04,8sb04EFS,0,0,0
2025-12-04,LOQrZCBL,1,0,0
2025-12-04,Q82Atn93,1,1,666
2025-12-04,HnIfEfG8,1,0,0
2025-12-04,crF4wpZr,0,1,941
2025-12-04,m5whtGIT,1,0,0
2025-12-04,A1yKurJj,1,0,0
2025-12-04,9cMR8O00,1,0,0
2025-12-04,VQ4MIY9S,0,0,0
2025-12-04,vsMREhVz,0,0,0
2025-12-05,cRjbShDk,0,1,799
2025-12-05,cmGQa35n,0,1,798
2025-12-05,yB8LzFGW,0,0,0
2025-12-05,9cMR8O00,0,1,254
2025-12-05,PH5HjRhP,0,0,0
2025-12-05,Bv5epZXb,0,1,191
2025-12-05,Q82Atn93,1,1,542
2025-12-05,ruAKpdij,0,0,0
2025-12-05,MMA2cnRu,0,0,0
2025-12-05,dd2td2NE,0,0,0
2025-12-05,uGm3dky8,1,0,0
2025-12-05,S34hk77d,0,1,221
2025-12-05,HuTI4vN7,2,1,123
2025-12-05,9HY5FDdG,0,1,619
2025-12-05,2w4rPmOd,1,0,0
2025-12-05,x4oDM2xs,1,0,0
2025-12-05,279CmB1x,0,2,1470
2025-12-05,kkrx4ZRk,1,0,0
2025-12-05,yw2iu7E1,1,0,0
2025-12-05,jkN6vLLe,1,0,0
2025-12-05,Aej5JH9H,0,1,307
2025-12-05,V0BDfrf9,0,0,0
2025-12-05,2wGX4taj,0,1,417
2025-12-05,HnIfEfG8,0,3,1257
2025-12-05,evoskti5,0,0,0
2025-12-05,9D29by5T,1,0,0
2025-12-05,VQ4MIY9S,1,0,0
2025-12-05,NQxIdN4l,1,0,0
2025-12-05,pdJQrLwd,0,0,0
2025-12-05,P0Wwmr9M,1,0,0
2025-12-05,SkjeQxGI,0,0,0
2025-12-05,ZnsLnnsA,1,1,192
2025-12-05,jF046OKM,1,0,0
2025-12-05,RFwttjot,1,0,0
2025-12-05,maSFk6ft,0,1,879
2025-12-05,m5whtGIT,1,0,0
2025-12-05,gpZdBcM3,2,0,0
2025-12-05,Uxwf8OVP,1,0,0
2025-12-05,uQnGNt2r,0,1,328
2025-12-05,8sb04EFS,1,0,0
2025-12-05,gUwvZ2Fg,1,0,0
2025-12-05,JPfxceF2,1,0,0
2025-12-05,2yWryL0B,1,0,0
2025-12-05,B5TxEdY1,0,1,135
2025-12-05,eSklPKEE,1,0,0
2025-12-05,0TsYjiK6,0,0,0
2025-12-05,kbjZIkgt,1,0,0
2025-12-05,j5KzuBWH,1,0,0
2025-12-05,TjXfvrQR,0,0,0
2025-12-05,oUwRiilM,0,2,1665
2025-12-05,MciJQ2Af,1,2,596
2025-12-05,1GhlCoq8,2,1,336
2025-12-05,iY1M2cuq,0,0,0
2025-12-05,GZGE7XqJ,1,0,0
2025-12-05,DBMEneE6,0,0,0
2025-12-05,SElOZZBh,2,0,0
2025-12-05,LOQrZCBL,1,0,0
2025-12-05,Dg4ps3jO,0,1,161
2025-12-06,MciJQ2Af,1,0,0
2025-12-06,C5xuWmHV,0,3,1533
2025-12-06,MMA2cnRu,0,1,182
2025-12-06,yw2iu7E1,1,0,0
2025-12-06,BFxePua6,0,0,0
2025-12-06,JfB50Laf,1,0,0
2025-12-06,evoskti5,0,1,476
2025-12-06,S9Zt9xJk,0,1,211
2025-12-06,1GhlCoq8,1,1,923
2025-12-06,fl2k5v02,0,1,715
2025-12-06,9cMR8O00,0,1,556
2025-12-06,jkN6vLLe,1,0,0
2025-12-06,Dg4ps3jO,1,0,0
2025-12-06,GZGE7XqJ,0,0,0
2025-12-06,cvnPQsOE,0,2,1169
2025-12-06,vsMREhVz,0,0,0
2025-12-06,Lgt1ESdD,0,0,0
2025-12-06,gpZdBcM3,0,0,0
2025-12-06,TjXfvrQR,0,1,243
2025-12-06,JPfxceF2,0,1,392
2025-12-06,2yWryL0B,0,0,0
2025-12-06,oe1ygk9b,1,0,0
2025-12-06,uQnGNt2r,0,1,301
2025-12-06,Uxwf8OVP,1,0,0
2025-12-06,maSFk6ft,0,0,0
2025-12-06,ruAKpdij,0,2,880
2025-12-06,2wGX4taj,1,2,608
2025-12-06,B5TxEdY1,0,0,0
2025-12-06,dd2td2NE,0,1,634
2025-12-06,RFwttjot,0,0,0
2025-12-06,SkjeQxGI,0,0,0
2025-12-06,VQ4MIY9S,1,0,0
2025-12-06,x4oDM2xs,0,1,354
2025-12-06,sXWZeDW7,0,0,0
2025-12-06,S34hk77d,1,0,0
2025-12-06,nOJV3mYj,1,0,0
2025-12-06,RRoikhOX,0,0,0
2025-12-06,9HY5FDdG,1,0,0
2025-12-06,HnIfEfG8,0,1,349
2025-12-06,Q82Atn93,2,0,0
2025-12-06,Gt0YesGA,1,0,0
2025-12-06,gUwvZ2Fg,1,0,0
2025-12-06,kbjZIkgt,1,0,0
2025-12-06,ZnsLnnsA,1,0,0
2025-12-06,cRjbShDk,1,1,165
2025-12-06,279CmB1x,1,0,0
2025-12-06,9D29by5T,2,0,0
2025-12-06,crF4wpZr,3,1,749
2025-12-06,Aej5JH9H,1,1,154
2025-12-06,2w4rPmOd,0,1,814
2025-12-06,kbsBk0oD,2,0,0
2025-12-06,0TsYjiK6,1,1,998
2025-12-06,oUwRiilM,0,1,184
2025-12-06,SWlFzNVY,0,1,376
2025-12-06,NQxIdN4l,0,1,455
2025-12-06,HuTI4vN7,0,0,0
2025-12-06,PH5HjRhP,1,1,795
2025-12-06,pdJQrLwd,0,0,0
2025-12-06,eSklPKEE,1,0,0
2025-12-06,jF046OKM,2,0,0
2025-12-06,8sb04EFS,1,0,0
2025-12-06,m5whtGIT,1,0,0
